metric,group_no,dept_no,row_count
course_group_dept_counts,16,B,10
course_group_dept_counts,16,C,10
course_group_dept_counts,17,A,10
course_group_dept_counts,17,B,10
course_group_dept_counts,17,C,10
course_group_dept_counts,18,A,10
course_group_dept_counts,18,B,10
course_group_dept_counts,18,C,10
course_group_dept_counts,19,A,10
course_group_dept_counts,19,B,10
course_group_dept_counts,19,C,10
course_group_dept_counts,20,A,10
course_group_dept_counts,20,B,10
course_group_dept_counts,20,C,10
course_group_dept_counts,21,A,10
course_group_dept_counts,21,B,10
course_group_dept_counts,21,C,10
course_group_dept_counts,22,A,10
course_group_dept_counts,22,B,10
course_group_dept_counts,22,C,10
course_group_dept_counts,23,A,10
course_group_dept_counts,23,B,5
course_group_dept_counts,23,C,5
course_group_dept_counts,25,A,10
course_group_dept_counts,25,B,10
course_group_dept_counts,25,C,10
course_group_dept_counts,27,A,10
course_group_dept_counts,27,B,10
course_group_dept_counts,27,C,10
course_group_dept_counts,28,A,10
course_group_dept_counts,28,B,10
course_group_dept_counts,28,C,10
sc_group_dept_counts,1,A,250
sc_group_dept_counts,1,B,250
sc_group_dept_counts,1,C,250
sc_group_dept_counts,2,A,1125
sc_group_dept_counts,2,B,1765
sc_group_dept_counts,2,C,1865
sc_group_dept_counts,3,A,250
sc_group_dept_counts,3,B,26
sc_group_dept_counts,3,C,250
sc_group_dept_counts,4,A,250
sc_group_dept_counts,4,B,250
sc_group_dept_counts,4,C,250
sc_group_dept_counts,5,A,250
sc_group_dept_counts,5,B,250
sc_group_dept_counts,5,C,250
sc_group_dept_counts,6,A,250
sc_group_dept_counts,6,B,250
sc_group_dept_counts,6,C,250
sc_group_dept_counts,7,A,233
sc_group_dept_counts,7,B,348
sc_group_dept_counts,7,C,169
sc_group_dept_counts,8,A,250
sc_group_dept_counts,8,B,250
sc_group_dept_counts,8,C,250
sc_group_dept_counts,9,A,250
sc_group_dept_counts,9,B,250
sc_group_dept_counts,9,C,250
sc_group_dept_counts,10,A,250
sc_group_dept_counts,10,B,250
sc_group_dept_counts,10,C,250
sc_group_dept_counts,11,A,250
sc_group_dept_counts,11,B,250
sc_group_dept_counts,11,C,250
sc_group_dept_counts,12,A,251
sc_group_dept_counts,12,B,251
sc_group_dept_counts,12,C,250
sc_group_dept_counts,14,A,250
sc_group_dept_counts,14,B,250
sc_group_dept_counts,14,C,250
sc_group_dept_counts,15,A,250
sc_group_dept_counts,15,B,250
sc_group_dept_counts,15,C,250
sc_group_dept_counts,16,A,250
sc_group_dept_counts,16,B,250
sc_group_dept_counts,16,C,250
sc_group_dept_counts,17,A,250
sc_group_dept_counts,17,B,250
sc_group_dept_counts,17,C,250
sc_group_dept_counts,18,A,250
sc_group_dept_counts,18,B,250
sc_group_dept_counts,18,C,250
sc_group_dept_counts,19,A,250
sc_group_dept_counts,19,B,250
sc_group_dept_counts,19,C,250
sc_group_dept_counts,20,A,250
sc_group_dept_counts,20,B,250
sc_group_dept_counts,20,C,250
sc_group_dept_counts,21,A,250
sc_group_dept_counts,21,B,250
sc_group_dept_counts,21,C,250
sc_group_dept_counts,22,A,251
sc_group_dept_counts,22,B,252
sc_group_dept_counts,22,C,250
sc_group_dept_counts,23,A,250
sc_group_dept_counts,23,B,250
sc_group_dept_counts,23,C,250
sc_group_dept_counts,25,B,250
sc_group_dept_counts,25,C,250
sc_group_dept_counts,27,A,250
sc_group_dept_counts,27,B,250
sc_group_dept_counts,27,C,251
sc_group_dept_counts,28,A,250
sc_group_dept_counts,28,B,250
sc_group_dept_counts,28,C,250
